,Window,Start date,End date,Coefficient,Constant
364,180,2021-06-16,2021-12-13,1.5912829843917637,-0.030512410199879814
365,180,2021-06-23,2021-12-20,1.4601645114504513,-0.05502532153604443
366,180,2021-06-30,2021-12-27,1.5311437460838484,-0.06899858545472402
367,180,2021-07-07,2022-01-03,1.513590796057802,-0.09544996634129063
368,180,2021-07-14,2022-01-10,1.505990073226925,0.006675517647409506
369,180,2021-07-21,2022-01-17,1.68727716890389,0.11579953944801816
370,180,2021-07-28,2022-01-24,1.6795641007766757,0.12626437057598183
371,180,2021-08-04,2022-01-31,1.7258077338464888,0.15404157093469414
372,180,2021-08-11,2022-02-07,1.750191136471895,0.14657114998031265
373,180,2021-08-18,2022-02-14,1.7462282257828408,0.07523055272594067
374,180,2021-08-25,2022-02-21,1.7564539050106385,0.04473173797219023
375,180,2021-09-01,2022-02-28,1.7872983943624183,-0.003112965466146278
376,180,2021-09-08,2022-03-07,2.239428572750208,-0.0026337344397046798
377,180,2021-09-15,2022-03-14,2.2465172615933025,0.010176959696203285
378,180,2021-09-22,2022-03-21,2.41267586337507,0.14545621057560248
